# Downloaded at 2025-09-17 15:02:53 [UTC]
# Station name = Belfast Maine Harbor
# Device type = Weather
# Device serial = PTM5462
# Latitude [deg] = 44.428903
# Longitude [deg] = -69.004461
# Current altitude = 0.00 m
# 
# timestamp [sec UTC],timestring [America/New_York],Solar irradiance [W/m2],Rainfall intensity [mm],Wind speed [kn],Wind direction (coming from) [deg N],Wind gust speed [kn],Air temperature [deg C],Vapor pressure [kPa],Atmospheric pressure [kPa],Relative humidity [-],Air temperature (humidity sensor) [deg C]# 
1704085200,2024-01-01 00:00:00,0.000,0.000,8.331,6.296,14.773,-4.500,0.350,101.500,0.799,-4.400
1704086100,2024-01-01 00:15:00,0.000,0.000,9.273,359.399,17.067,-4.600,0.350,101.500,0.791,-4.400
1704087000,2024-01-01 00:30:00,0.000,0.000,10.480,358.725,15.881,-4.600,0.340,101.510,0.794,-4.500
1704087900,2024-01-01 00:45:00,0.000,0.000,10.697,356.040,17.533,-4.600,0.350,101.510,0.797,-4.400
1704088800,2024-01-01 01:00:00,0.000,0.000,9.190,355.025,14.287,-4.700,0.340,101.510,0.791,-4.500
1704089700,2024-01-01 01:15:00,0.000,0.000,8.437,359.472,14.443,-4.700,0.340,101.500,0.794,-4.500
1704090600,2024-01-01 01:30:00,0.000,0.000,7.342,5.469,12.013,-4.700,0.340,101.530,0.788,-4.500
1704091500,2024-01-01 01:45:00,0.000,0.000,7.407,4.214,11.060,-4.700,0.340,101.540,0.784,-4.500
1704092400,2024-01-01 02:00:00,0.000,0.000,8.058,2.904,12.071,-4.600,0.340,101.550,0.782,-4.500
1704093300,2024-01-01 02:15:00,0.000,0.000,10.476,346.041,14.812,-4.500,0.340,101.530,0.792,-4.500
1704094200,2024-01-01 02:30:00,0.000,0.000,10.251,338.299,16.056,-4.600,0.340,101.530,0.797,-4.500
1704095100,2024-01-01 02:45:00,0.000,0.000,10.063,339.535,14.579,-4.700,0.350,101.530,0.801,-4.500
1704096000,2024-01-01 03:00:00,0.000,0.000,9.241,325.541,15.376,-4.700,0.340,101.540,0.801,-4.600
1704096900,2024-01-01 03:15:00,0.000,0.000,8.814,339.607,14.365,-4.800,0.350,101.540,0.805,-4.600
1704097800,2024-01-01 03:30:00,0.000,0.000,8.865,0.754,14.501,-4.900,0.340,101.530,0.805,-4.700
1704098700,2024-01-01 03:45:00,0.000,0.000,10.061,2.768,15.862,-5.100,0.330,101.530,0.789,-4.800
1704099600,2024-01-01 04:00:00,0.000,0.000,9.713,357.017,14.326,-5.100,0.330,101.530,0.782,-4.900
1704100500,2024-01-01 04:15:00,0.000,0.000,9.862,350.928,17.028,-5.200,0.320,101.510,0.785,-5.000
1704101400,2024-01-01 04:30:00,0.000,0.000,9.821,356.027,15.570,-5.200,0.320,101.510,0.779,-5.100
1704102300,2024-01-01 04:45:00,0.000,0.000,11.359,351.537,17.397,-5.300,0.320,101.510,0.774,-5.100
1704103200,2024-01-01 05:00:00,0.000,0.000,9.708,357.590,14.248,-5.300,0.320,101.510,0.773,-5.100
1704104100,2024-01-01 05:15:00,0.000,0.000,9.925,357.306,14.501,-5.200,0.320,101.520,0.780,-5.100
1704105000,2024-01-01 05:30:00,0.000,0.000,9.616,347.509,15.259,-5.200,0.320,101.530,0.780,-5.100
1704105900,2024-01-01 05:45:00,0.000,0.000,10.391,354.417,14.482,-5.300,0.320,101.550,0.776,-5.100
1704106800,2024-01-01 06:00:00,0.000,0.000,9.344,351.988,13.821,-5.200,0.320,101.570,0.770,-5.100
1704107700,2024-01-01 06:15:00,0.000,0.000,8.608,356.504,14.015,-5.300,0.320,101.580,0.773,-5.100
1704108600,2024-01-01 06:30:00,0.000,0.000,9.325,3.107,15.454,-5.300,0.320,101.590,0.773,-5.200
1704109500,2024-01-01 06:45:00,0.000,0.000,9.477,348.644,14.229,-5.300,0.320,101.600,0.777,-5.200
1704110400,2024-01-01 07:00:00,0.000,0.000,8.087,0.551,13.432,-5.300,0.320,101.600,0.792,-5.200
1704111300,2024-01-01 07:15:00,1.000,0.000,8.501,2.228,12.790,-5.300,0.320,101.610,0.787,-5.200
1704112200,2024-01-01 07:30:00,8.000,0.000,8.002,348.936,15.609,-5.200,0.320,101.620,0.782,-5.200
1704113100,2024-01-01 07:45:00,13.000,0.000,9.039,343.124,15.512,-5.200,0.320,101.630,0.779,-5.100
1704114000,2024-01-01 08:00:00,25.000,0.000,8.402,348.118,13.471,-5.300,0.320,101.650,0.778,-5.100
1704114900,2024-01-01 08:15:00,35.000,0.000,6.992,348.128,11.099,-5.200,0.320,101.660,0.779,-5.000
1704115800,2024-01-01 08:30:00,32.000,0.000,8.912,339.707,14.209,-5.200,0.320,101.680,0.778,-4.900
1704116700,2024-01-01 08:45:00,38.000,0.000,8.313,347.166,13.393,-5.100,0.330,101.700,0.781,-4.900
