timestamp [sec UTC],timestring [America/New_York],Water level [ft]
1701450000,2023-12-01 12:00:00,10.510
1701450900,2023-12-01 12:15:00,10.692
1701451800,2023-12-01 12:30:00,10.905
1701452700,2023-12-01 12:45:00,11.023
1701453600,2023-12-01 13:00:00,11.193
1701454500,2023-12-01 13:15:00,11.192
1701455400,2023-12-01 13:30:00,11.142
1701456300,2023-12-01 13:45:00,11.066
1701457200,2023-12-01 14:00:00,10.967
1701458100,2023-12-01 14:15:00,10.762
1701459000,2023-12-01 14:30:00,10.491
1701459900,2023-12-01 14:45:00,10.159
1701460800,2023-12-01 15:00:00,9.667
1701461700,2023-12-01 15:15:00,9.151
1701462600,2023-12-01 15:30:00,8.626
1701463500,2023-12-01 15:45:00,7.950
1701464400,2023-12-01 16:00:00,7.342
1701465300,2023-12-01 16:15:00,6.722
1701466200,2023-12-01 16:30:00,6.121
1701467100,2023-12-01 16:45:00,5.469
1701468000,2023-12-01 17:00:00,4.742
1701468900,2023-12-01 17:15:00,4.128
1701469800,2023-12-01 17:30:00,3.480
1701470700,2023-12-01 17:45:00,2.816
1701471600,2023-12-01 18:00:00,2.337
1701472500,2023-12-01 18:15:00,1.945
1701473400,2023-12-01 18:30:00,1.501
1701474300,2023-12-01 18:45:00,1.182
1701475200,2023-12-01 19:00:00,1.063
1701476100,2023-12-01 19:15:00,0.894
1701477000,2023-12-01 19:30:00,0.792
1701477900,2023-12-01 19:45:00,0.774
1701478800,2023-12-01 20:00:00,0.748
1701479700,2023-12-01 20:15:00,0.808
1701480600,2023-12-01 20:30:00,1.072
1701481500,2023-12-01 20:45:00,1.244
1701482400,2023-12-01 21:00:00,1.412
1701483300,2023-12-01 21:15:00,1.680
1701484200,2023-12-01 21:30:00,2.034
1701485100,2023-12-01 21:45:00,2.385
1701486000,2023-12-01 22:00:00,3.069
1701486900,2023-12-01 22:15:00,3.673
1701487800,2023-12-01 22:30:00,4.413
1701488700,2023-12-01 22:45:00,5.040
1701489600,2023-12-01 23:00:00,5.742
1701490500,2023-12-01 23:15:00,6.245
1701491400,2023-12-01 23:30:00,6.846
1701492300,2023-12-01 23:45:00,7.615
1701493200,2023-12-02 00:00:00,8.013
1701494100,2023-12-02 00:15:00,8.624
1701495000,2023-12-02 00:30:00,8.935
1701495900,2023-12-02 00:45:00,9.190
