# Downloaded at 2025-09-17 15:01:00 [UTC]
# Station name = Belfast Maine Harbor
# Device type = Level
# Device serial = PTM5461
# Latitude [deg] = 44.428903
# Longitude [deg] = -69.004461
# Current probe level = 6.28 m w.r.t. local datum
# 
# timestamp [sec UTC],timestring [America/New_York],Water level [ft]# 
1704085200,2024-01-01 00:00:00,7.844
1704086100,2024-01-01 00:15:00,8.306
1704087000,2024-01-01 00:30:00,8.706
1704087900,2024-01-01 00:45:00,9.091
1704088800,2024-01-01 01:00:00,9.435
1704089700,2024-01-01 01:15:00,9.575
1704090600,2024-01-01 01:30:00,9.751
1704091500,2024-01-01 01:45:00,9.933
1704092400,2024-01-01 02:00:00,9.921
1704093300,2024-01-01 02:15:00,9.956
1704094200,2024-01-01 02:30:00,9.901
1704095100,2024-01-01 02:45:00,9.811
1704096000,2024-01-01 03:00:00,9.711
1704096900,2024-01-01 03:15:00,9.384
1704097800,2024-01-01 03:30:00,9.151
1704098700,2024-01-01 03:45:00,8.826
1704099600,2024-01-01 04:00:00,8.545
1704100500,2024-01-01 04:15:00,8.016
1704101400,2024-01-01 04:30:00,7.581
1704102300,2024-01-01 04:45:00,7.079
1704103200,2024-01-01 05:00:00,6.419
1704104100,2024-01-01 05:15:00,5.887
1704105000,2024-01-01 05:30:00,5.296
1704105900,2024-01-01 05:45:00,4.743
1704106800,2024-01-01 06:00:00,4.159
1704107700,2024-01-01 06:15:00,3.625
1704108600,2024-01-01 06:30:00,3.140
1704109500,2024-01-01 06:45:00,2.692
1704110400,2024-01-01 07:00:00,2.343
1704111300,2024-01-01 07:15:00,2.035
1704112200,2024-01-01 07:30:00,1.847
1704113100,2024-01-01 07:45:00,1.779
1704114000,2024-01-01 08:00:00,1.752
1704114900,2024-01-01 08:15:00,1.814
1704115800,2024-01-01 08:30:00,1.898
1704116700,2024-01-01 08:45:00,1.957
1704117600,2024-01-01 09:00:00,2.106
1704118500,2024-01-01 09:15:00,2.314
1704119400,2024-01-01 09:30:00,2.604
1704120300,2024-01-01 09:45:00,2.942
1704121200,2024-01-01 10:00:00,3.304
1704122100,2024-01-01 10:15:00,3.724
1704123000,2024-01-01 10:30:00,4.189
1704123900,2024-01-01 10:45:00,4.708
1704124800,2024-01-01 11:00:00,5.298
1704125700,2024-01-01 11:15:00,5.916
1704126600,2024-01-01 11:30:00,6.614
1704127500,2024-01-01 11:45:00,7.331
1704128400,2024-01-01 12:00:00,7.949
1704129300,2024-01-01 12:15:00,8.570
1704130200,2024-01-01 12:30:00,9.095
1704131100,2024-01-01 12:45:00,9.508
1704132000,2024-01-01 13:00:00,9.838
1704132900,2024-01-01 13:15:00,10.154
1704133800,2024-01-01 13:30:00,10.394
1704134700,2024-01-01 13:45:00,10.439
1704135600,2024-01-01 14:00:00,10.503
1704136500,2024-01-01 14:15:00,10.531
1704137400,2024-01-01 14:30:00,10.460
1704138300,2024-01-01 14:45:00,10.379
1704139200,2024-01-01 15:00:00,10.280
1704140100,2024-01-01 15:15:00,10.066
1704141000,2024-01-01 15:30:00,9.837
1704141900,2024-01-01 15:45:00,9.515
1704142800,2024-01-01 16:00:00,9.176
1704143700,2024-01-01 16:15:00,8.805
1704144600,2024-01-01 16:30:00,8.304
1704145500,2024-01-01 16:45:00,7.775
1704146400,2024-01-01 17:00:00,7.201
1704147300,2024-01-01 17:15:00,6.684
1704148200,2024-01-01 17:30:00,6.120
1704149100,2024-01-01 17:45:00,5.467
1704150000,2024-01-01 18:00:00,4.914
1704150900,2024-01-01 18:15:00,4.330
1704151800,2024-01-01 18:30:00,3.766
1704152700,2024-01-01 18:45:00,3.159
1704153600,2024-01-01 19:00:00,2.665
1704154500,2024-01-01 19:15:00,2.289
1704155400,2024-01-01 19:30:00,1.981
1704156300,2024-01-01 19:45:00,1.775
1704157200,2024-01-01 20:00:00,1.591
1704158100,2024-01-01 20:15:00,1.514
1704159000,2024-01-01 20:30:00,1.465
1704159900,2024-01-01 20:45:00,1.495
1704160800,2024-01-01 21:00:00,1.625
1704161700,2024-01-01 21:15:00,1.740
1704162600,2024-01-01 21:30:00,1.946
1704163500,2024-01-01 21:45:00,2.073
1704164400,2024-01-01 22:00:00,2.221
1704165300,2024-01-01 22:15:00,2.499
1704166200,2024-01-01 22:30:00,2.876
1704167100,2024-01-01 22:45:00,3.326
1704168000,2024-01-01 23:00:00,3.887
1704168900,2024-01-01 23:15:00,4.504
1704169800,2024-01-01 23:30:00,5.163
1704170700,2024-01-01 23:45:00,5.790
1704171600,2024-01-02 00:00:00,6.410
1704172500,2024-01-02 00:15:00,7.063
1704173400,2024-01-02 00:30:00,7.737
1704174300,2024-01-02 00:45:00,8.290
1704175200,2024-01-02 01:00:00,8.720
1704176100,2024-01-02 01:15:00,9.092
1704177000,2024-01-02 01:30:00,9.412
1704177900,2024-01-02 01:45:00,9.628
1704178800,2024-01-02 02:00:00,9.838
1704179700,2024-01-02 02:15:00,10.041
1704180600,2024-01-02 02:30:00,10.189
1704181500,2024-01-02 02:45:00,10.204
1704182400,2024-01-02 03:00:00,10.241
1704183300,2024-01-02 03:15:00,10.266
1704184200,2024-01-02 03:30:00,10.149
1704185100,2024-01-02 03:45:00,10.028
1704186000,2024-01-02 04:00:00,9.830
1704186900,2024-01-02 04:15:00,9.552
1704187800,2024-01-02 04:30:00,9.201
1704188700,2024-01-02 04:45:00,8.748
1704189600,2024-01-02 05:00:00,8.258
1704190500,2024-01-02 05:15:00,7.710
1704191400,2024-01-02 05:30:00,7.160
1704192300,2024-01-02 05:45:00,6.604
1704193200,2024-01-02 06:00:00,6.051
1704194100,2024-01-02 06:15:00,5.510
1704195000,2024-01-02 06:30:00,4.966
1704195900,2024-01-02 06:45:00,4.412
1704196800,2024-01-02 07:00:00,3.877
1704197700,2024-01-02 07:15:00,3.441
1704198600,2024-01-02 07:30:00,3.117
1704199500,2024-01-02 07:45:00,2.780
1704200400,2024-01-02 08:00:00,2.564
1704201300,2024-01-02 08:15:00,2.386
1704202200,2024-01-02 08:30:00,2.270
1704203100,2024-01-02 08:45:00,2.206
1704204000,2024-01-02 09:00:00,2.206
1704204900,2024-01-02 09:15:00,2.228
1704205800,2024-01-02 09:30:00,2.345
1704206700,2024-01-02 09:45:00,2.494
1704207600,2024-01-02 10:00:00,2.672
1704208500,2024-01-02 10:15:00,2.901
1704209400,2024-01-02 10:30:00,3.150
1704210300,2024-01-02 10:45:00,3.455
1704211200,2024-01-02 11:00:00,3.792
1704212100,2024-01-02 11:15:00,4.241
1704213000,2024-01-02 11:30:00,4.681
1704213900,2024-01-02 11:45:00,5.351
1704214800,2024-01-02 12:00:00,5.973
1704215700,2024-01-02 12:15:00,6.612
1704216600,2024-01-02 12:30:00,7.288
1704217500,2024-01-02 12:45:00,7.861
1704218400,2024-01-02 13:00:00,8.357
1704219300,2024-01-02 13:15:00,8.879
1704220200,2024-01-02 13:30:00,9.369
1704221100,2024-01-02 13:45:00,9.678
1704222000,2024-01-02 14:00:00,9.950
1704222900,2024-01-02 14:15:00,10.106
1704223800,2024-01-02 14:30:00,10.071
1704224700,2024-01-02 14:45:00,10.045
1704225600,2024-01-02 15:00:00,9.997
1704226500,2024-01-02 15:15:00,9.986
1704227400,2024-01-02 15:30:00,10.048
1704228300,2024-01-02 15:45:00,10.002
1704229200,2024-01-02 16:00:00,9.904
1704230100,2024-01-02 16:15:00,9.751
1704231000,2024-01-02 16:30:00,9.407
1704231900,2024-01-02 16:45:00,9.169
1704232800,2024-01-02 17:00:00,8.800
1704233700,2024-01-02 17:15:00,8.363
1704234600,2024-01-02 17:30:00,7.933
1704235500,2024-01-02 17:45:00,7.268
1704236400,2024-01-02 18:00:00,6.670
1704237300,2024-01-02 18:15:00,6.071
1704238200,2024-01-02 18:30:00,5.483
1704239100,2024-01-02 18:45:00,4.887
1704240000,2024-01-02 19:00:00,4.299
1704240900,2024-01-02 19:15:00,3.753
1704241800,2024-01-02 19:30:00,3.263
1704242700,2024-01-02 19:45:00,2.821
1704243600,2024-01-02 20:00:00,2.465
1704244500,2024-01-02 20:15:00,2.236
1704245400,2024-01-02 20:30:00,2.038
1704246300,2024-01-02 20:45:00,1.903
1704247200,2024-01-02 21:00:00,1.800
1704248100,2024-01-02 21:15:00,1.801
1704249000,2024-01-02 21:30:00,1.818
1704249900,2024-01-02 21:45:00,1.892
1704250800,2024-01-02 22:00:00,1.903
1704251700,2024-01-02 22:15:00,2.048
1704252600,2024-01-02 22:30:00,2.227
1704253500,2024-01-02 22:45:00,2.487
1704254400,2024-01-02 23:00:00,2.747
1704255300,2024-01-02 23:15:00,3.132
1704256200,2024-01-02 23:30:00,3.566
1704257100,2024-01-02 23:45:00,4.114
1704258000,2024-01-03 00:00:00,4.695
1704258900,2024-01-03 00:15:00,5.338
1704259800,2024-01-03 00:30:00,6.040
1704260700,2024-01-03 00:45:00,6.646
1704261600,2024-01-03 01:00:00,7.336
1704262500,2024-01-03 01:15:00,7.844
1704263400,2024-01-03 01:30:00,8.283
1704264300,2024-01-03 01:45:00,8.718
1704265200,2024-01-03 02:00:00,9.078
1704266100,2024-01-03 02:15:00,9.406
1704267000,2024-01-03 02:30:00,9.660
1704267900,2024-01-03 02:45:00,9.889
1704268800,2024-01-03 03:00:00,10.054
1704269700,2024-01-03 03:15:00,10.191
1704270600,2024-01-03 03:30:00,10.311
1704271500,2024-01-03 03:45:00,10.332
1704272400,2024-01-03 04:00:00,10.326
1704273300,2024-01-03 04:15:00,10.199
1704274200,2024-01-03 04:30:00,10.016
1704275100,2024-01-03 04:45:00,9.843
1704276000,2024-01-03 05:00:00,9.586
1704276900,2024-01-03 05:15:00,9.173
1704277800,2024-01-03 05:30:00,8.798
1704278700,2024-01-03 05:45:00,8.384
1704279600,2024-01-03 06:00:00,7.874
1704280500,2024-01-03 06:15:00,7.351
1704281400,2024-01-03 06:30:00,6.835
1704282300,2024-01-03 06:45:00,6.283
1704283200,2024-01-03 07:00:00,5.738
1704284100,2024-01-03 07:15:00,5.278
1704285000,2024-01-03 07:30:00,4.800
1704285900,2024-01-03 07:45:00,4.309
1704286800,2024-01-03 08:00:00,3.823
1704287700,2024-01-03 08:15:00,3.469
1704288600,2024-01-03 08:30:00,3.169
1704289500,2024-01-03 08:45:00,2.963
1704290400,2024-01-03 09:00:00,2.836
1704291300,2024-01-03 09:15:00,2.671
1704292200,2024-01-03 09:30:00,2.587
1704293100,2024-01-03 09:45:00,2.540
1704294000,2024-01-03 10:00:00,2.569
1704294900,2024-01-03 10:15:00,2.620
1704295800,2024-01-03 10:30:00,2.649
1704296700,2024-01-03 10:45:00,2.847
1704297600,2024-01-03 11:00:00,3.040
1704298500,2024-01-03 11:15:00,3.321
1704299400,2024-01-03 11:30:00,3.579
1704300300,2024-01-03 11:45:00,4.010
1704301200,2024-01-03 12:00:00,4.417
1704302100,2024-01-03 12:15:00,4.932
1704303000,2024-01-03 12:30:00,5.481
1704303900,2024-01-03 12:45:00,6.093
1704304800,2024-01-03 13:00:00,6.717
1704305700,2024-01-03 13:15:00,7.272
1704306600,2024-01-03 13:30:00,7.796
1704307500,2024-01-03 13:45:00,8.241
1704308400,2024-01-03 14:00:00,8.759
1704309300,2024-01-03 14:15:00,9.005
1704310200,2024-01-03 14:30:00,9.251
1704311100,2024-01-03 14:45:00,9.512
1704312000,2024-01-03 15:00:00,9.684
1704312900,2024-01-03 15:15:00,9.798
1704313800,2024-01-03 15:30:00,9.852
1704314700,2024-01-03 15:45:00,10.016
1704315600,2024-01-03 16:00:00,10.024
1704316500,2024-01-03 16:15:00,9.977
1704317400,2024-01-03 16:30:00,10.016
1704318300,2024-01-03 16:45:00,10.019
1704319200,2024-01-03 17:00:00,9.860
1704320100,2024-01-03 17:15:00,9.560
1704321000,2024-01-03 17:30:00,9.226
1704321900,2024-01-03 17:45:00,8.872
1704322800,2024-01-03 18:00:00,8.390
1704323700,2024-01-03 18:15:00,7.795
1704324600,2024-01-03 18:30:00,7.228
1704325500,2024-01-03 18:45:00,6.732
1704326400,2024-01-03 19:00:00,6.173
1704327300,2024-01-03 19:15:00,5.611
1704328200,2024-01-03 19:30:00,5.078
1704329100,2024-01-03 19:45:00,4.559
1704330000,2024-01-03 20:00:00,4.133
1704330900,2024-01-03 20:15:00,3.645
1704331800,2024-01-03 20:30:00,3.332
1704332700,2024-01-03 20:45:00,3.074
1704333600,2024-01-03 21:00:00,2.863
1704334500,2024-01-03 21:15:00,2.584
1704335400,2024-01-03 21:30:00,2.478
1704336300,2024-01-03 21:45:00,2.366
1704337200,2024-01-03 22:00:00,2.303
1704338100,2024-01-03 22:15:00,2.085
1704339000,2024-01-03 22:30:00,2.115
1704339900,2024-01-03 22:45:00,2.143
1704340800,2024-01-03 23:00:00,2.320
1704341700,2024-01-03 23:15:00,2.606
1704342600,2024-01-03 23:30:00,2.925
1704343500,2024-01-03 23:45:00,3.118
1704344400,2024-01-04 00:00:00,3.572
1704345300,2024-01-04 00:15:00,3.935
1704346200,2024-01-04 00:30:00,4.442
1704347100,2024-01-04 00:45:00,5.023
1704348000,2024-01-04 01:00:00,5.616
1704348900,2024-01-04 01:15:00,6.242
1704349800,2024-01-04 01:30:00,6.794
1704350700,2024-01-04 01:45:00,7.333
1704351600,2024-01-04 02:00:00,7.913
1704352500,2024-01-04 02:15:00,8.489
1704353400,2024-01-04 02:30:00,8.909
1704354300,2024-01-04 02:45:00,9.282
1704355200,2024-01-04 03:00:00,9.598
1704356100,2024-01-04 03:15:00,9.876
